,ano,Bandeira,Funcao,Emitidos,Ativos,Transacoes,vl_Transacoes,trimestre
130,2022,MasterCard,Crédito,28807817,11036782,169862661,20933987791.61,2
131,2022,VISA,Pré-Pago,32627419,12021324,135637833,6817411194.47,4
132,2015,Elo,Crédito,5193037,1876078,14939721,899147900.83,3
133,2017,MasterCard,Crédito,1190993,831943,11202660,2464631821.04,4
134,2014,VISA,Débito,8488012,3846352,58033906,3559748761.89,3
135,2015,MasterCard,Débito,1972697,721894,12074794,740938026.71,3
136,2013,VISA,Débito,1395395,809347,17388302,1234399492.83,3
137,2018,VISA,Débito,114375455,30084932,555342124,35190660474.23,2
138,2017,Elo,Crédito,439567,168646,2777611,599267425.93,4
139,2020,American Express,Crédito,22514,17118,354436,152942559.26,2
140,2015,MasterCard,Débito,223827,116420,1598236,156951620.98,3
141,2020,VISA,Pré-Pago,195574,975,0,0.0,2
142,2016,American Express,Crédito,16,0,328,10245.35,3
143,2019,VISA,Débito,498513,267186,7974180,797202241.32,4
144,2018,VISA,Débito,1724154,1134094,43080218,3628520205.82,4
145,2022,American Express,Crédito,22356,16630,541499,375699756.32,2
146,2021,MasterCard,Pré-Pago,207001,89690,2131752,139957666.27,1
147,2017,MasterCard,Débito,284731,87061,1528116,196005036.72,1
148,2021,VISA,Débito,1407580,475014,20093262,2766625252.57,4
149,2015,Outras,Débito,3397104,1358393,27099931,2726617023.58,2
150,2015,VISA,Crédito,5417648,3759459,134520687,17689453603.06,2
151,2018,MasterCard,Pré-Pago,1367,717,6103,275101.91,4
152,2018,MasterCard,Crédito,17230931,11216105,205888912,19378591043.04,2
153,2011,Diners Club,Crédito,1166,761,12494,3367547.42,3
154,2016,MasterCard,Débito,719554,301690,6769113,512945332.72,1
155,2019,MasterCard,Pré-Pago,98901,22646,292108,16615707.56,2
156,2023,VISA,Débito,151924662,39809985,966211748,62164619277.38,3
157,2011,MasterCard,Débito,483206,131067,1529569,172689459.26,3
158,2018,MasterCard,Crédito,16614675,10775152,191274816,18264958032.31,1
159,2013,VISA,Débito,239074,133361,2662931,257277763.75,3
160,2013,MasterCard,Débito,862092,373399,6563195,447935900.07,2
161,2013,Bandeira própria,Débito,1548973,352785,2159684,147338111.9,4
162,2017,VISA,Pré-Pago,1218566,136098,199472,263006002.41,1
163,2011,MasterCard,Crédito,5380852,3520001,59293565,7238967130.15,2
164,2013,MasterCard,Crédito,7648690,4634561,77914230,9681874184.47,1
165,2020,MasterCard,Crédito,6166630,4706330,201754940,24813754507.82,1
166,2023,MasterCard,Crédito,6847156,5079217,369271968,73488763442.06,4
167,2020,American Express,Crédito,418694,259285,7428240,1764406457.41,2
168,2016,VISA,Débito,87096,87096,99003,6985004.45,2
169,2018,MasterCard,Pré-Pago,3543,1775,40936,3548366.32,1
170,2012,MasterCard,Crédito,3398343,2028302,51477924,6996354684.1,2
171,2021,MasterCard,Crédito,2742700,2176738,148427323,31776887767.93,4
172,2021,VISA,Crédito,589488,264879,3911695,1445179426.58,3
173,2011,VISA,Débito,10560174,3567630,40887172,2255105714.59,1
174,2013,Bandeira própria,Débito,1524754,345261,1803273,111236205.3,3
175,2015,Elo,Débito,5473224,1578729,14884118,822505041.01,3
176,2016,MasterCard,Crédito,628484,472702,27217038,5277632395.35,2
177,2018,Elo,Débito,1074,2,2,15.0,3
178,2014,American Express,Crédito,161065,87918,1926660,1255868689.98,1
179,2018,American Express,Crédito,499776,405012,3819761,729947728.73,3
180,2016,VISA,Crédito,7770186,4816220,130206163,15659795174.44,3
181,2019,Elo,Crédito,25411,14560,35768,116886815.63,3
182,2017,MasterCard,Crédito,16180917,10604613,191410011,18811489870.55,4
183,2018,VISA,Crédito,22306347,10713804,142083386,11584977324.04,1
184,2021,MasterCard,Pré-Pago,306054,199119,1059241,138683535.16,4
185,2016,MasterCard,Débito,111250572,36281091,646177707,38974131333.87,1
186,2012,MasterCard,Crédito,840447,325778,4684611,1130671687.65,1
187,2018,Elo,Crédito,1432198,599648,10197908,1123483845.04,3
188,2013,American Express,Crédito,155157,88760,1706407,1079677395.51,1
189,2020,VISA,Pré-Pago,564877,156470,1975306,150422308.76,1
190,2014,MasterCard,Débito,117130036,35554197,530246365,31261193461.79,1
191,2019,VISA,Crédito,5134612,3766765,189599589,23317204460.12,2
192,2018,Bandeira própria,Débito,1316719,384708,3963288,535713935.68,3
193,2018,Elo,Crédito,4925746,2262128,40251412,3133370171.47,2
194,2023,Bandeira própria,Crédito,20913,10142,2515907,706837041.9,1
195,2018,MasterCard,Débito,108277544,39148325,858274189,49909794805.22,2
196,2017,VISA,Crédito,512408,262246,4849601,1227969871.64,4
197,2017,Elo,Débito,22015354,5916707,130418844,6903165902.38,3
198,2022,Elo,Crédito,498299,271923,5747007,1542230049.57,1
199,2016,VISA,Crédito,467394,254954,4239196,1243754164.53,3
200,2021,Outras,Crédito,187406,126360,85987,22968564.9,2
201,2018,VISA,Débito,110678141,29854237,612026373,41642143938.19,4
202,2012,Bandeira própria,Crédito,619629,193900,1082019,97103678.95,4
203,2020,VISA,Débito,524164,281010,7300175,719876458.38,1
204,2023,Elo,Crédito,170595,116852,3318766,507000497.68,3
205,2023,VISA,Pré-Pago,19272503,4973344,115461446,5382584453.79,4
206,2013,MasterCard,Débito,442882,119088,1677755,202648481.9,3
207,2013,American Express,Crédito,160344,86951,2248788,1382676179.91,3
208,2011,Outras,Crédito,424265,154827,33307,15392689.88,4
209,2014,VISA,Crédito,499675,254714,3760419,1360750542.34,3
210,2021,American Express,Crédito,55548,41603,910289,127548634.54,4
211,2016,VISA,Crédito,15429034,10809926,182946506,17023534191.0,4
212,2012,Elo,Crédito,2,1,2,3.5,4
213,2021,MasterCard,Crédito,29581272,10785617,153753723,16842629579.11,1
214,2021,VISA,Débito,12199013,6156221,181888478,12642734384.09,4
215,2022,Bandeira própria,Crédito,24203520,5137921,14813307,2274516955.85,3
216,2020,VISA,Pré-Pago,5300602,465396,1833735,111454352.4,1
217,2023,American Express,Crédito,346312,263935,8129971,1403697265.67,3
218,2013,Elo,Débito,9621606,2888168,17396473,1006091417.95,2
219,2022,Hipercard,Crédito,4815217,4500861,73075052,11651505052.86,3
220,2015,MasterCard,Crédito,9322890,3870395,43724218,4662272745.41,4
221,2018,Outras,Débito,6,6,3880,225100.7,4
222,2013,MasterCard,Crédito,3622427,2148717,54674658,7491397366.39,1
223,2023,Elo,Crédito,521515,312278,6710143,1932384873.04,1
224,2014,Diners Club,Crédito,785,429,4545,973173.56,2
225,2020,VISA,Débito,1649191,968576,25698392,2283798864.67,3
226,2020,Bandeira própria,Débito,1037567,394237,3759586,280297980.54,2
227,2020,VISA,Pré-Pago,9094620,518618,3217472,194174879.37,3
228,2017,Diners Club,Crédito,190829,173957,3666781,589247135.94,3
229,2014,Cheque Eletrônico,Débito,78816,78816,4759,143692.0,1
230,2022,MasterCard,Crédito,21766376,6099720,90926104,10383397953.24,4
231,2022,MasterCard,Crédito,86082461,33762333,423217618,46195682255.09,3
232,2016,MasterCard,Crédito,32459630,14051716,164035890,15810824051.06,3
233,2014,MasterCard,Crédito,3678164,2192416,72557391,9357471592.6,1
234,2022,VISA,Pré-Pago,12091210,1750831,46617363,3324576062.34,4
235,2012,MasterCard,Crédito,35670703,15609905,144201376,12777276471.23,2
236,2014,MasterCard,Crédito,8969488,3863808,41414510,4533410685.7,4
237,2011,Elo,Crédito,73534,26289,39492,2494647.05,2
238,2012,Elo,Crédito,1692407,377271,2866407,146022154.79,4
239,2016,MasterCard,Débito,207121,111251,1862531,194186359.5,4
240,2019,MasterCard,Pré-Pago,13436616,3163553,32415058,2360704744.91,2
241,2013,VISA,Crédito,520599,366217,23599027,3861798874.17,3
242,2021,VISA,Pré-Pago,3361,1982,34324,3888509.06,3
243,2016,American Express,Crédito,1135148,715028,19871696,1957513028.27,2
244,2016,Diners Club,Crédito,8,7,46,5467.75,1
245,2014,Outras,Crédito,1080453,324842,2938147,375169463.84,2
246,2023,Outras,Débito,3406135,1743385,41928992,3925126074.23,1
247,2015,American Express,Crédito,577320,357389,13557742,2172582874.45,4
248,2019,VISA,Pré-Pago,1799739,239132,1391552,871599785.72,3
249,2011,VISA,Débito,8843018,3672252,48279946,2795329607.32,4
250,2018,VISA,Pré-Pago,158302,149917,468412,108261368.68,2
251,2013,VISA,Débito,1432766,810656,16447754,1151863840.31,2
252,2017,VISA,Débito,5242699,2885436,65361203,4369715421.22,4
253,2013,Cheque Eletrônico,Débito,78061,78061,12586,1141105.12,4
254,2023,Elo,Pré-Pago,4721,381,5918,515202.58,4
255,2011,American Express,Crédito,22270,24,77,13662.29,2
256,2022,VISA,Crédito,539525,313696,5263018,2293266943.97,2
257,2018,Outras,Crédito,517281,246163,749355,101626773.94,3
258,2023,MasterCard,Pré-Pago,6281028,3115822,87490891,4150543309.16,1
259,2013,MasterCard,Débito,845594,368103,6804497,470623125.02,3
260,2016,MasterCard,Débito,1769084,671325,11861529,739008505.34,2
261,2015,VISA,Débito,7926442,3749740,60221350,3808038199.18,1
262,2015,MasterCard,Débito,402597,116038,1782557,233691704.11,3
263,2015,American Express,Crédito,1293222,791740,20725549,2050268307.98,4
264,2023,MasterCard,Débito,547015,312007,8039604,599690771.11,4
265,2021,MasterCard,Débito,576021,341733,11565325,906833510.79,4
266,2021,American Express,Crédito,22003,16255,418972,214563551.64,1
267,2017,MasterCard,Débito,106706322,37719381,773551199,45759419100.04,2
268,2015,VISA,Crédito,19667889,10583424,179183830,17014961589.18,4
269,2014,American Express,Crédito,1555112,947097,21283661,2068588075.32,4
270,2011,Outras,Débito,2775183,1121968,26978788,1628458753.79,4
271,2022,American Express,Crédito,2873,2593,82448,21298745.13,1
272,2013,Outras,Crédito,692008,113448,355372,50541427.39,1
273,2019,MasterCard,Crédito,22641443,15984906,379766862,34565815817.41,2
274,2013,Outras,Crédito,943137,289133,70785,45495739.23,3
275,2012,MasterCard,Débito,114432260,31562672,385789782,20717278986.47,2
276,2011,MasterCard,Crédito,7731556,2973807,29659436,2552386516.03,3
277,2018,VISA,Pré-Pago,3462681,2911164,2605149,236923291.09,1
278,2022,MasterCard,Débito,448,233,116725,11550569.6,3
279,2016,Elo,Crédito,16290,10090,6105,99540195.0,2
280,2019,Outras,Débito,3479624,1837332,46930899,3884935524.19,4
281,2021,MasterCard,Débito,512945,134841,2023340,92438172.97,3
282,2014,Outras,Crédito,1087900,308390,2881845,368195378.76,3
283,2019,MasterCard,Crédito,5600108,4382714,170047551,22138402955.76,1
284,2015,Elo,Crédito,664928,149714,1091487,73362444.4,1
285,2013,Diners Club,Crédito,354701,316365,4079101,700972363.46,4
286,2012,American Express,Crédito,200935,38647,765996,145528452.14,4
287,2023,VISA,Crédito,7494198,5068987,294453439,57977508007.14,4
288,2021,Bandeira própria,Crédito,1938972,535612,2741493,521339586.1,3
289,2013,VISA,Débito,1367031,589442,10077982,1187969174.74,4
290,2016,MasterCard,Débito,344708,102259,1643261,219145610.05,3
291,2023,Outras,Crédito,95245,79988,35132,15276999.29,3
292,2018,MasterCard,Crédito,13703651,9589948,224859164,23589120364.56,2
293,2016,VISA,Crédito,3086190,521404,6717590,757777267.49,2
294,2011,VISA,Crédito,19276630,10359854,138726932,12125083904.48,3
295,2011,VISA,Crédito,473012,210123,3148443,1252515822.85,2
296,2014,Bandeira própria,Crédito,650976,176073,1291894,118506909.47,2
297,2021,VISA,Débito,1916493,1089396,38049764,3646578436.23,3
298,2015,Bandeira própria,Débito,1590520,435696,3243116,215016150.34,4
299,2020,MasterCard,Crédito,6383700,4861600,173348612,24698371755.69,3
300,2012,MasterCard,Crédito,3256260,1894780,47786676,6480386305.33,1
301,2012,American Express,Crédito,181843,87514,2183991,1203272280.21,3
302,2021,MasterCard,Crédito,2496043,1964992,129413448,26695686589.02,3
303,2020,VISA,Débito,96809036,28944583,525435683,35899401405.43,1
304,2023,American Express,Crédito,26598,18382,529885,356075147.53,1
305,2021,VISA,Crédito,10136417,1913034,26412510,2709874782.68,2
306,2019,MasterCard,Pré-Pago,98943,22712,279654,15529708.32,3
307,2012,MasterCard,Débito,111330559,30328906,382539570,20682597863.17,1
308,2022,MasterCard,Débito,1120864,616523,17359392,1315065580.88,3
309,2020,Bandeira própria,Crédito,14904164,7280348,11534001,1315704045.41,2
310,2013,VISA,Crédito,498308,350229,22339485,3722753434.17,2
311,2020,VISA,Débito,535656,283432,6044512,707314950.17,3
312,2022,MasterCard,Pré-Pago,2282694,881260,27461077,1906353988.44,4
313,2014,American Express,Crédito,33,18,1160,94605.5,1
314,2021,American Express,Crédito,574163,348180,7818627,1349996974.89,1
315,2023,VISA,Crédito,598732,344567,6503240,2739727369.28,2
316,2020,American Express,Crédito,589220,351813,7733987,1350002979.86,4
317,2014,Elo,Crédito,4373545,1425504,11115410,615034659.08,2
318,2019,VISA,Crédito,20606619,13107115,229206030,20805194207.73,1
319,2017,Bandeira própria,Débito,1687278,477645,3608093,219687864.78,3
320,2021,MasterCard,Débito,369386,76078,921382,43919562.78,2
321,2017,MasterCard,Débito,264572,77659,1489099,196942658.89,4
322,2023,American Express,Crédito,27741,19039,609656,399183346.4,3
323,2019,VISA,Crédito,7383819,5311727,184912861,22281178690.69,4
324,2015,MasterCard,Débito,444680,116693,1757105,237629054.75,1
325,2012,VISA,Crédito,33085613,16769680,147858057,11039036410.62,1
326,2018,Elo,Débito,54350650,21847342,260455472,15057466042.64,1
327,2016,Elo,Crédito,17482,11293,6169,108392009.33,4
328,2015,Bandeira própria,Crédito,576205,184496,1693804,163171948.43,2
329,2022,Elo,Débito,69431,59153,578857,33395692.16,2
330,2020,American Express,Crédito,83880,60345,1126259,418445735.07,3
331,2016,Elo,Débito,44441399,15121589,151242006,8584622752.9,3
332,2016,Diners Club,Crédito,4,2,13,2276.29,3
333,2022,MasterCard,Débito,33131940,19761248,286901983,9498385917.08,3
334,2017,VISA,Crédito,23375673,11148323,152753307,12402564610.35,4
335,2022,MasterCard,Crédito,5271854,2574037,38237846,11518139287.87,4
336,2023,Outras,Débito,3464569,1732747,40983812,3932666576.52,2
337,2022,MasterCard,Débito,1127,718,118602,10618596.49,1
338,2021,Elo,Crédito,24106,13163,45707,104809129.06,1
339,2023,VISA,Crédito,10037618,7367351,318504195,48871457637.77,4
340,2018,VISA,Crédito,4712601,3477164,164416519,20232752398.25,2
341,2015,VISA,Crédito,5815687,3973949,154517475,20627329092.76,4
342,2021,VISA,Crédito,1826422,1308047,75537234,14534404984.55,1
343,2012,Outras,Crédito,530153,192026,43394,21422922.48,1
344,2020,VISA,Débito,9359779,5268920,139440980,10196195683.6,4
345,2014,Diners Club,Crédito,327167,282157,4109704,664428533.34,3
346,2023,MasterCard,Pré-Pago,193982,121111,381768,27492234.11,1
347,2022,MasterCard,Crédito,85071027,48420490,941685129,79011924372.56,3
348,2022,American Express,Crédito,448882,346292,9626019,1672960862.54,4
349,2021,MasterCard,Crédito,3378707,1870486,27166390,6737960914.85,2
350,2014,Elo,Crédito,39618,11360,74489,37281223.37,3
351,2023,MasterCard,Crédito,6101597,2807025,43769708,13079288103.51,2
352,2021,MasterCard,Crédito,11095179,8849684,303917334,37214917748.51,2
353,2019,MasterCard,Crédito,5863073,4471265,207786438,25157558906.83,3
354,2015,MasterCard,Crédito,10509894,6644283,123724249,14976998650.54,2
355,2022,VISA,Débito,635805,338672,10290036,1068600611.36,1
356,2020,Elo,Débito,164608445,61856529,777786272,49087770767.42,2
357,2019,MasterCard,Débito,256290,57576,784455,55829174.39,1
358,2022,MasterCard,Crédito,19981528,6595583,80537953,9017815149.03,2
359,2020,Hipercard,Crédito,2418259,1737276,47323117,10176323310.0,4
360,2013,American Express,Crédito,1885185,1131502,20252711,1914484696.35,3
361,2022,VISA,Pré-Pago,179917,123941,0,0.0,3
362,2017,MasterCard,Pré-Pago,3188,3188,2285,61013.85,2
363,2022,VISA,Crédito,574726,334822,5713385,2650257236.79,4
364,2023,MasterCard,Débito,546780,351392,7023372,523196315.35,1
365,2019,MasterCard,Débito,783331,436206,10941278,847902845.74,3
366,2014,MasterCard,Débito,1061404,486958,7994443,609869730.09,1
367,2021,VISA,Crédito,1616410,936485,23321057,6168730385.07,1
368,2023,MasterCard,Débito,1380955,702382,12494146,686222710.31,2
369,2015,VISA,Débito,4291,4291,6040,297563.81,1
370,2012,Outras,Crédito,772207,227080,70607,38793773.34,4
371,2020,Elo,Débito,82265138,44263103,585366338,33610614691.22,1
372,2017,MasterCard,Crédito,31463351,12736835,182249106,18869342576.37,4
373,2017,Elo,Débito,54174737,18180096,214090562,12340743438.77,1
374,2018,MasterCard,Débito,291064,63036,1367652,156400631.35,4
375,2020,Elo,Crédito,2435048,1177131,19561811,2204110348.83,3
376,2013,MasterCard,Crédito,36581109,14933331,132727542,11671554802.96,1
377,2021,MasterCard,Débito,333052,138282,2334714,248187351.59,3
378,2019,American Express,Crédito,121031,108783,2726120,1511769528.58,2
379,2021,MasterCard,Pré-Pago,3284686,1876317,36989279,1884522014.71,2
380,2020,Elo,Crédito,5767658,2746404,41418587,4804643351.07,1
381,2022,American Express,Crédito,448255,334759,8696505,1525440079.88,1
382,2012,American Express,Crédito,656938,449048,10638147,1637875708.96,4
383,2015,VISA,Débito,114247719,32581901,605701505,39605728074.85,4
384,2022,MasterCard,Pré-Pago,5632465,3084381,80420555,3856858553.24,3
385,2018,MasterCard,Débito,893070,366448,7656994,537885777.24,3
386,2020,VISA,Débito,1463777,493004,12046839,1552821211.27,2
387,2015,MasterCard,Crédito,9246379,3825289,41896247,4277026908.51,3
388,2016,Bandeira própria,Crédito,621860,169169,1716145,159662377.57,3
389,2013,Elo,Crédito,2797700,715980,6001379,301085418.02,2
390,2015,VISA,Débito,1507119,648887,11199047,1381018430.9,1
391,2021,VISA,Débito,1767133,1000108,28566215,2518793370.34,2
392,2019,VISA,Débito,5804935,2976134,68048052,4303369340.67,1
393,2016,VISA,Crédito,1707601,863849,12870870,3795996269.92,1
394,2023,MasterCard,Débito,461638,338722,10388314,799900242.8,1
395,2012,VISA,Débito,1154979,463608,6492889,710719456.45,2
396,2020,MasterCard,Débito,1012771,313941,8443895,677758349.72,4
397,2021,MasterCard,Pré-Pago,689169,274959,10048714,639256384.97,4
398,2017,VISA,Crédito,687328,504640,37389087,6214330544.59,3
399,2011,MasterCard,Débito,898651,405885,7115512,485948487.22,4
400,2013,Outras,Crédito,1113748,370647,2717367,344971271.1,3
401,2018,Elo,Crédito,1097080,405405,6331777,632945156.85,3
402,2020,American Express,Crédito,115623,101085,1774762,659388219.61,1
403,2020,Elo,Crédito,64784,41612,592195,85011930.77,4
404,2017,Elo,Débito,55228132,21962443,273743120,16256290906.02,4
405,2015,Elo,Débito,20434608,3646252,66003374,3418957540.94,1
406,2023,VISA,Pré-Pago,5037,70,1272,71478.93,3
